#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
What's your name? (to a friend)	Wie heißt du?	A1 A1-U01
Where are you from? (formal)	Woher kommen Sie?	A1 A1-U01
I'm from Turkey.	Ich komme aus der Türkei.	A1 A1-U01
What do you do for a living? (to a friend)	Was machst du beruflich?	A1 A1-U01
I work as an engineer. (woman)	Ich arbeite als Ingenieurin.	A1 A1-U01
How long have you been living here?	Seit wann wohnst du hier?	A1 A1-U01
I've been living here for two years.	Ich wohne seit zwei Jahren hier.	A1 A1-U01
Do you speak English? (formal)	Sprechen Sie Englisch?	A1 A1-U01
I speak a little German.	Ich spreche ein bisschen Deutsch.	A1 A1-U01
du ___ (sprechen)	du <b>sprichst</b>	A1 A1-U01
er ___ (fahren)	er <b>fährt</b>	A1 A1-U01
sie ___ (lesen)	sie <b>liest</b>	A1 A1-U01
ihr ___ (sein)	ihr <b>seid</b>	A1 A1-U01
Today I'm working at home.	Heute arbeite ich zu Hause.	A1 A1-U01
At the weekend we sleep late.	Am Wochenende schlafen wir lange.	A1 A1-U01
who? / where?	wer? / wo?	A1 A1-U01
where from? / where to?	woher? / wohin?	A1 A1-U01
Nice to meet you!	Freut mich!	A1 A1-U01
Could you spell that, please? (formal)	Können Sie das bitte buchstabieren?	A1 A1-U01
I'm fine, thanks.	Mir geht's gut, danke.	A1 A1-U01
Do you have siblings?	Hast du Geschwister?	A1 A1-U01
What do you do in your free time?	Was machst du in deiner Freizeit?	A1 A1-U01
58	achtundfünfzig	A1 A1-U01
1998 (year)	neunzehnhundertachtundneunzig	A1 A1-U01
30 / 60 / 70	dreißig / sechzig / siebzig	A1 A1-U01
I'm a teacher. (woman)	Ich bin Lehrerin.	A1 A1-U01
bread roll (+ plural)	das Brötchen – die Brötchen	A1 A1-U02
egg (+ plural)	das Ei – die Eier	A1 A1-U02
apple (+ plural)	der Apfel – die Äpfel	A1 A1-U02
tomato (+ plural)	die Tomate – die Tomaten	A1 A1-U02
bill (+ plural)	die Rechnung – die Rechnungen	A1 A1-U02
cheese / meat / milk (with article)	der Käse / das Fleisch / die Milch	A1 A1-U02
juice / water / coffee (with article)	der Saft / das Wasser / der Kaffee	A1 A1-U02
I'd like two rolls, please.	Ich hätte gern zwei Brötchen, bitte.	A1 A1-U02
How much are the apples?	Was kosten die Äpfel?	A1 A1-U02
Do you have oat milk? (formal)	Haben Sie Hafermilch?	A1 A1-U02
Anything else? – No, that's all.	Sonst noch etwas? – Nein, danke, das ist alles.	A1 A1-U02
Can I pay by card?	Kann ich mit Karte zahlen?	A1 A1-U02
a coffee to take away	einen Kaffee zum Mitnehmen	A1 A1-U02
a bottle of water / a piece of cake	eine Flasche Wasser / ein Stück Kuchen	A1 A1-U02
I need a spoon.	Ich brauche einen Löffel.	A1 A1-U02
Is there a baker's here?	Gibt es hier einen Bäcker?	A1 A1-U02
Where's the key? – I can't see it.	Wo ist der Schlüssel? – Ich sehe ihn nicht.	A1 A1-U02
I don't eat meat.	Ich esse kein Fleisch.	A1 A1-U02
We're out of eggs.	Wir haben keine Eier mehr.	A1 A1-U02
The bread isn't fresh.	Das Brot ist nicht frisch.	A1 A1-U02
Aren't you hungry? – Yes, I am!	Hast du keinen Hunger? – Doch!	A1 A1-U02
I like cheese. / I'd like some cheese (now).	Ich mag Käse. / Ich möchte Käse.	A1 A1-U02
That's my wife and our children.	Das ist meine Frau und unsere Kinder.	A1 A1-U02
Paul is looking for his key.	Paul sucht seinen Schlüssel.	A1 A1-U02
Lisa is visiting her parents.	Lisa besucht ihre Eltern.	A1 A1-U02
That comes to €5.10.	Das macht fünf Euro zehn.	A1 A1-U02
That's no problem.	Das ist kein Problem.	A1 A1-U02
7:30 (everyday way)	halb acht	A1 A1-U03
8:15 / 8:45 (everyday way)	Viertel nach acht / Viertel vor neun	A1 A1-U03
What time is it?	Wie spät ist es? / Wie viel Uhr ist es?	A1 A1-U03
At what time does the course start?	Um wie viel Uhr fängt der Kurs an?	A1 A1-U03
on Monday at 10 o'clock	am Montag um 10 Uhr	A1 A1-U03
in July / in summer	im Juli / im Sommer	A1 A1-U03
from 9 to 5	von 9 bis 17 Uhr	A1 A1-U03
tomorrow morning	morgen früh	A1 A1-U03
I get up at seven.	Ich stehe um sieben auf.	A1 A1-U03
I'll call you tomorrow.	Ich rufe dich morgen an.	A1 A1-U03
Are you coming along?	Kommst du mit?	A1 A1-U03
I'll pick you up at eight.	Ich hole dich um acht ab.	A1 A1-U03
The film starts at 8:15.	Der Film fängt um Viertel nach acht an.	A1 A1-U03
The supermarket closes at ten.	Der Supermarkt macht um zehn zu.	A1 A1-U03
I watch TV in the evenings.	Abends sehe ich fern.	A1 A1-U03
On Saturdays I go shopping.	Samstags kaufe ich ein.	A1 A1-U03
I visit my grandma. (not separable!)	Ich besuche meine Oma.	A1 A1-U03
always – usually – often – sometimes – rarely – never	immer – meistens – oft – manchmal – selten – nie	A1 A1-U03
twice a week	zweimal pro Woche	A1 A1-U03
Normally I get up at seven.	Normalerweise stehe ich um sieben auf.	A1 A1-U03
Are you free on Friday?	Hast du am Freitag Zeit?	A1 A1-U03
Does Tuesday at three work?	Geht es am Dienstag um drei?	A1 A1-U03
I'm afraid I can't then.	Da kann ich leider nicht.	A1 A1-U03
The bakery is open on Sundays.	Die Bäckerei hat sonntags geöffnet.	A1 A1-U03
